Version 5.13
Size of reals used in simulation: 10 bytes
Timestamp at start: 7-8-24 10:46:45
Reading in of parameters:
Read parameters for layer 1 from ../../orga_TL.txt
l2.L = 1E-6
l2.N_anion = 0
l2.N_cation = 0
l2.N_t_bulk = 8E21
Read parameters for layer 2 from ../../pero.txt
Read parameters for layer 3 from ../../orga_TL.txt
NP = 1000
tolPois = 1E-7
tolDens = 1E-6
couplePC = 10
minAcc = 0.1
maxAcc = 0.1
grad = 4
Vscan = -1
Vmax = 100
timeout = 540
JVFile = /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/JV_17c7c061-459f-466b-a09b-8400dd4178bf.dat
scParsFile = /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/scPars_17c7c061-459f-466b-a09b-8400dd4178bf.txt
logFile = /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/log_17c7c061-459f-466b-a09b-8400dd4178bf.txt
Read simulation setup from /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/simulation_setup_sclc_tl.txt

The following voltages will be simulated:
  i       V    UpdateIons   Store
107     0.909     TRUE      TRUE
108     0.869     TRUE      TRUE
109     0.831     TRUE      TRUE
110     0.794     TRUE      TRUE
111     0.760     TRUE      TRUE
112     0.726     TRUE      TRUE
113     0.694     TRUE      TRUE
114     0.664     TRUE      TRUE
115     0.635     TRUE      TRUE
116     0.607     TRUE      TRUE
117     0.580     TRUE      TRUE
118     0.555     TRUE      TRUE
119     0.530     TRUE      TRUE
120     0.507     TRUE      TRUE
121     0.484     TRUE      TRUE
122     0.463     TRUE      TRUE
123     0.443     TRUE      TRUE
124     0.423     TRUE      TRUE
125     0.404     TRUE      TRUE
126     0.386     TRUE      TRUE
127     0.369     TRUE      TRUE
128     0.353     TRUE      TRUE
129     0.337     TRUE      TRUE
130     0.322     TRUE      TRUE
131     0.308     TRUE      TRUE
132     0.294     TRUE      TRUE
133     0.281     TRUE      TRUE
134     0.268     TRUE      TRUE
135     0.256     TRUE      TRUE
136     0.245     TRUE      TRUE
137     0.234     TRUE      TRUE
138     0.223     TRUE      TRUE
139     0.213     TRUE      TRUE
140     0.203     TRUE      TRUE
141     0.194     TRUE      TRUE
142     0.185     TRUE      TRUE
143     0.177     TRUE      TRUE
144     0.169     TRUE      TRUE
145     0.161     TRUE      TRUE
146     0.154     TRUE      TRUE
147     0.147     TRUE      TRUE
148     0.140     TRUE      TRUE
149     0.133     TRUE      TRUE
150     0.127     TRUE      TRUE
151     0.121     TRUE      TRUE
152     0.115     TRUE      TRUE
153     0.110     TRUE      TRUE
154     0.105     TRUE      TRUE
155     0.100     TRUE      TRUE
156     0.095     TRUE      TRUE
157     0.091     TRUE      TRUE
158     0.086     TRUE      TRUE
159     0.082     TRUE      TRUE
160     0.078     TRUE      TRUE
161     0.074     TRUE      TRUE
162     0.071     TRUE      TRUE
163     0.067     TRUE      TRUE
164     0.064     TRUE      TRUE
165     0.061     TRUE      TRUE
166     0.058     TRUE      TRUE
167     0.055     TRUE      TRUE
168     0.052     TRUE      TRUE
169     0.049     TRUE      TRUE
170     0.047     TRUE      TRUE
171     0.044     TRUE      TRUE
172     0.042     TRUE      TRUE
173     0.040     TRUE      TRUE
174     0.037     TRUE      TRUE
175     0.035     TRUE      TRUE
176     0.033     TRUE      TRUE
177     0.032     TRUE      TRUE
178     0.030     TRUE      TRUE
179     0.028     TRUE      TRUE
180     0.026     TRUE      TRUE
181     0.025     TRUE      TRUE
182     0.023     TRUE      TRUE
183     0.022     TRUE      TRUE
184     0.020     TRUE      TRUE
185     0.019     TRUE      TRUE
186     0.018     TRUE      TRUE
187     0.017     TRUE      TRUE
188     0.016     TRUE      TRUE
189     0.014     TRUE      TRUE
190     0.013     TRUE      TRUE
191     0.012     TRUE      TRUE
192     0.011     TRUE      TRUE
193     0.010     TRUE      TRUE
194     0.010     TRUE      TRUE
195     0.009     TRUE      TRUE
196     0.008     TRUE      TRUE
197     0.007     TRUE      TRUE
198     0.006     TRUE      TRUE
199     0.006     TRUE      TRUE
200     0.005     TRUE      TRUE


Messages from main solver at voltage= 0.337:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =6.8814E-15
- Poisson solver converged: TRUE
- relative change of densities: 3.4905E-6


Messages from main solver at voltage= 0.256:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =1.5489E-15
- Poisson solver converged: TRUE
- relative change of densities: 2.0192E-4


Messages from main solver at voltage= 0.245:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =3.2006E-15
- Poisson solver converged: TRUE
- relative change of densities: 7.2957E-5


Messages from main solver at voltage= 0.234:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =2.1011E-15
- Poisson solver converged: TRUE
- relative change of densities: 1.0280E-4


Messages from main solver at voltage= 0.223:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =4.0337E-15
- Poisson solver converged: TRUE
- relative change of densities: 1.2354E-4


Messages from main solver at voltage= 0.213:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =1.6741E-15
- Poisson solver converged: TRUE
- relative change of densities: 1.1373E-4


Messages from main solver at voltage= 0.203:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =2.0177E-15
- Poisson solver converged: TRUE
- relative change of densities: 8.0676E-6


Messages from main solver at voltage= 0.194:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =8.7405E-15
- Poisson solver converged: TRUE
- relative change of densities: 1.3160E-4


Messages from main solver at voltage= 0.185:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
