Version 5.13
Size of reals used in simulation: 10 bytes
Timestamp at start: 7-8-24 11:29:32
Reading in of parameters:
Read parameters for layer 1 from ../../orga_TL.txt
l2.L = 1E-6
l2.N_anion = 1E21
l2.N_cation = 1E21
l2.N_t_bulk = 1E22
Read parameters for layer 2 from ../../pero.txt
Read parameters for layer 3 from ../../orga_TL.txt
NP = 550
tolPois = 1E-7
tolDens = 1E-6
couplePC = 10
minAcc = 0.1
maxAcc = 0.1
grad = 4
Vscan = 1
Vmax = 100
timeout = 540
JVFile = /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/JV_a4d15df9-981a-424b-bf18-020f472ef61e.dat
scParsFile = /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/scPars_a4d15df9-981a-424b-bf18-020f472ef61e.txt
logFile = /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/log_a4d15df9-981a-424b-bf18-020f472ef61e.txt
Read simulation setup from /mnt/c/Users/lecor/Desktop/GitHub/problematic_SCLC_pero/SIMsalabim/SimSS/simulation_setup_sclc_tl.txt

The following voltages will be simulated:
  i       V    UpdateIons   Store
150    10.936     TRUE      TRUE
151    11.431     TRUE      TRUE
152    11.949     TRUE      TRUE
153    12.490     TRUE      TRUE
154    13.055     TRUE      TRUE
155    13.646     TRUE      TRUE
156    14.264     TRUE      TRUE
157    14.910     TRUE      TRUE
158    15.585     TRUE      TRUE
159    16.290     TRUE      TRUE
160    17.028     TRUE      TRUE
161    17.798     TRUE      TRUE
162    18.604     TRUE      TRUE
163    19.446     TRUE      TRUE
164    20.326     TRUE      TRUE
165    21.246     TRUE      TRUE
166    22.208     TRUE      TRUE
167    23.213     TRUE      TRUE
168    24.264     TRUE      TRUE
169    25.362     TRUE      TRUE
170    26.510     TRUE      TRUE
171    27.709     TRUE      TRUE
172    28.963     TRUE      TRUE
173    30.274     TRUE      TRUE
174    31.644     TRUE      TRUE
175    33.076     TRUE      TRUE
176    34.573     TRUE      TRUE
177    36.138     TRUE      TRUE
178    37.773     TRUE      TRUE
179    39.482     TRUE      TRUE
180    41.269     TRUE      TRUE
181    43.136     TRUE      TRUE
182    45.088     TRUE      TRUE
183    47.128     TRUE      TRUE
184    49.261     TRUE      TRUE
185    51.490     TRUE      TRUE
186    53.820     TRUE      TRUE
187    56.255     TRUE      TRUE
188    58.800     TRUE      TRUE
189    61.461     TRUE      TRUE
190    64.242     TRUE      TRUE
191    67.148     TRUE      TRUE
192    70.187     TRUE      TRUE
193    73.362     TRUE      TRUE
194    76.682     TRUE      TRUE
195    80.151     TRUE      TRUE
196    83.778     TRUE      TRUE
197    87.568     TRUE      TRUE
198    91.530     TRUE      TRUE
199    95.671     TRUE      TRUE
200   100.000     TRUE      TRUE


Messages from main solver at voltage= 0.005:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =1.2079E-15
- movement of ions acceptable: TRUE
- Poisson solver converged: TRUE
- relative change of densities: 6.6685E-5


Messages from main solver at voltage= 0.006:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =8.0962E-16
- movement of ions acceptable: TRUE
- Poisson solver converged: TRUE
- relative change of densities: 4.5767E-5


Messages from main solver at voltage= 0.006:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =4.5441E-15
- Poisson solver converged: TRUE
- relative change of densities: 2.0969E-4


Messages from main solver at voltage= 0.007:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =8.2108E-16
- movement of ions acceptable: TRUE
- Poisson solver converged: TRUE
- relative change of densities: 4.2262E-4


Messages from main solver at voltage= 0.008:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =3.9473E-15
- movement of ions acceptable: TRUE
- Poisson solver converged: TRUE
- relative change of densities: 7.1385E-5


Messages from main solver at voltage= 0.010:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =4.2674E-15
- Poisson solver converged: TRUE
- relative change of densities: 2.7675E-4


Messages from main solver at voltage= 0.011:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =8.593E-16
- Poisson solver converged: TRUE
- relative change of densities: 2.6761E-4


Messages from main solver at voltage= 0.012:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =7.0123E-16
- movement of ions acceptable: TRUE
- Poisson solver converged: TRUE
- relative change of densities: 1.7584E-4


Messages from main solver at voltage= 0.013:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =7.4041E-16
- movement of ions acceptable: TRUE
- Poisson solver converged: TRUE
- relative change of densities: 3.3241E-5


Messages from main solver at voltage= 0.014:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =3.4229E-15
- Poisson solver converged: TRUE
- relative change of densities: 9.8543E-5


Messages from main solver at voltage= 0.017:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =4.9792E-16
- movement of ions acceptable: TRUE
- Poisson solver converged: TRUE
- relative change of densities: 2.0955E-4


Messages from main solver at voltage= 0.018:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =5.268E-15
- Poisson solver converged: TRUE
- relative change of densities: 1.8060E-4


Messages from main solver at voltage= 0.019:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =7.4747E-15
- movement of ions acceptable: TRUE
- Poisson solver converged: TRUE
- relative change of densities: 1.5739E-4


Messages from main solver at voltage= 0.022:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =1.0057E-15
- movement of ions acceptable: TRUE
- Poisson solver converged: TRUE
- relative change of densities: 1.5369E-4


Messages from main solver at voltage= 0.023:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =5.0538E-15
- movement of ions acceptable: TRUE
- Poisson solver converged: TRUE
- relative change of densities: 1.0754E-4


Messages from main solver at voltage= 0.028:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =2.4286E-15
- movement of ions acceptable: TRUE
- Poisson solver converged: TRUE
- relative change of densities: 1.8188E-5


Messages from main solver at voltage= 0.030:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =4.3185E-16
- Poisson solver converged: TRUE
- relative change of densities: 4.9839E-6


Messages from main solver at voltage= 0.032:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =3.8723E-15
- movement of ions acceptable: TRUE
- Poisson solver converged: TRUE
- relative change of densities: 1.0535E-4


Messages from main solver at voltage= 0.033:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =4.4351E-15
- Poisson solver converged: TRUE
- relative change of densities: 5.6823E-5


Messages from main solver at voltage= 0.035:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =4.5714E-15
- movement of ions acceptable: TRUE
- Poisson solver converged: TRUE
- relative change of densities: 3.1875E-4


Messages from main solver at voltage= 0.037:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =5.3397E-15
- movement of ions acceptable: TRUE
- Poisson solver converged: TRUE
- relative change of densities: 8.0453E-5


Messages from main solver at voltage= 0.040:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =1.2241E-15
- movement of ions acceptable: TRUE
- Poisson solver converged: TRUE
- relative change of densities: 1.2472E-4


Messages from main solver at voltage= 0.042:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =1.4756E-15
- movement of ions acceptable: TRUE
- Poisson solver converged: TRUE
- relative change of densities: 4.9588E-6


Messages from main solver at voltage= 0.047:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =3.7709E-16
- movement of ions acceptable: TRUE
- Poisson solver converged: TRUE
- relative change of densities: 1.4213E-4


Messages from main solver at voltage= 0.049:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =2.6846E-15
- movement of ions acceptable: TRUE
- Poisson solver converged: TRUE
- relative change of densities: 1.8898E-4


Messages from main solver at voltage= 0.055:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =2.6173E-15
- Poisson solver converged: TRUE
- relative change of densities: 2.9511E-4


Messages from main solver at voltage= 0.058:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =7.5003E-16
- movement of ions acceptable: TRUE
- Poisson solver converged: TRUE
- relative change of densities: 2.5954E-4


Messages from main solver at voltage= 0.061:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =3.0105E-15
- movement of ions acceptable: TRUE
- Poisson solver converged: TRUE
- relative change of densities: 9.3455E-5


Messages from main solver at voltage= 0.064:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =1.3993E-15
- Poisson solver converged: TRUE
- relative change of densities: 8.0539E-6


Messages from main solver at voltage= 0.071:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =1.0934E-15
- Poisson solver converged: TRUE
- relative change of densities: 1.2435E-4


Messages from main solver at voltage= 0.074:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =4.8313E-16
- movement of ions acceptable: TRUE
- Poisson solver converged: TRUE
- relative change of densities: 2.5532E-4


Messages from main solver at voltage= 0.078:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =1.5723E-15
- Poisson solver converged: TRUE
- relative change of densities: 1.9905E-4


Messages from main solver at voltage= 0.082:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =1.3063E-15
- movement of ions acceptable: TRUE
- Poisson solver converged: TRUE
- relative change of densities: 8.1131E-5


Messages from main solver at voltage= 0.086:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =1.0606E-15
- movement of ions acceptable: TRUE
- Poisson solver converged: TRUE
- relative change of densities: 6.5349E-6


Messages from main solver at voltage= 0.091:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =2.0785E-15
- movement of ions acceptable: TRUE
- Poisson solver converged: TRUE
- relative change of densities: 1.2392E-5


Messages from main solver at voltage= 0.095:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =2.256E-15
- movement of ions acceptable: TRUE
- Poisson solver converged: TRUE
- relative change of densities: 1.2740E-4


Messages from main solver at voltage= 0.105:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =3.2823E-16
- movement of ions acceptable: TRUE
- Poisson solver converged: TRUE
- relative change of densities: 1.1275E-4


Messages from main solver at voltage= 0.115:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =8.5181E-16
- movement of ions acceptable: TRUE
- Poisson solver converged: TRUE
- relative change of densities: 9.7624E-5


Messages from main solver at voltage= 0.121:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =5.9729E-16
- Poisson solver converged: TRUE
- relative change of densities: 1.1562E-5


Messages from main solver at voltage= 0.127:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =2.4879E-16
- Poisson solver converged: TRUE
- relative change of densities: 2.2576E-5


Messages from main solver at voltage= 0.140:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =6.4343E-16
- movement of ions acceptable: TRUE
- Poisson solver converged: TRUE
- relative change of densities: 1.6060E-5


Messages from main solver at voltage= 0.154:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =4.9219E-16
- movement of ions acceptable: TRUE
- Poisson solver converged: TRUE
- relative change of densities: 3.6199E-5


Messages from main solver at voltage= 0.161:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =9.5021E-16
- Poisson solver converged: TRUE
- relative change of densities: 1.2424E-5


Messages from main solver at voltage= 0.185:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =8.3453E-16
- movement of ions acceptable: TRUE
- Poisson solver converged: TRUE
- relative change of densities: 2.8308E-5


Messages from main solver at voltage= 0.194:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =3.2348E-16
- Poisson solver converged: TRUE
- relative change of densities: 2.1314E-6


Messages from main solver at voltage= 0.203:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =2.7086E-16
- Poisson solver converged: TRUE
- relative change of densities: 3.0839E-5


Messages from main solver at voltage= 0.245:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =5.8018E-16
- Poisson solver converged: TRUE
- relative change of densities: 1.1428E-4


Messages from main solver at voltage= 0.256:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =1.821E-15
- Poisson solver converged: TRUE
- relative change of densities: 1.5259E-5


Messages from main solver at voltage= 0.268:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =6.6092E-16
- Poisson solver converged: TRUE
- relative change of densities: 1.2073E-5


Messages from main solver at voltage= 0.294:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =8.0776E-16
- Poisson solver converged: TRUE
- relative change of densities: 4.7551E-5


Messages from main solver at voltage= 0.322:
Overall convergence: FALSE
Iterations perfomed: 1500
Poisson solver status:
- delV =1.2538E-15
- Poisson solver converged: TRUE
- relative change of densities: 5.2305E-5

Timestamp at end: 7-8-24 11:33:48
Total run time: 256.227 seconds.
